Time,Bid,Ask,Volume
2026.01.25 23:01:57,5019.847,5020.007,0
2026.01.25 23:01:57,5019.875,5020.035,0
2026.01.25 23:01:57,5019.936,5020.096,0
2026.01.25 23:01:57,5019.893,5020.053,0
2026.01.25 23:01:57,5019.989,5020.149,0
2026.01.25 23:01:57,5019.892,5020.052,0
2026.01.25 23:01:57,5019.846,5020.006,0
2026.01.25 23:01:57,5019.812,5019.972,0
2026.01.25 23:01:57,5019.766,5019.926,0
2026.01.25 23:01:57,5019.732,5019.892,0
2026.01.25 23:01:57,5019.618,5019.778,0
2026.01.25 23:01:57,5019.654,5019.814,0
2026.01.25 23:01:57,5019.598,5019.758,0
2026.01.25 23:01:57,5019.567,5019.727,0
2026.01.25 23:01:58,5019.497,5019.657,0
2026.01.25 23:01:58,5019.440,5019.600,0
2026.01.25 23:01:58,5019.415,5019.575,0
2026.01.25 23:01:58,5019.376,5019.536,0
2026.01.25 23:01:58,5019.351,5019.511,0
2026.01.25 23:01:58,5019.552,5019.712,0
2026.01.25 23:01:58,5019.683,5019.843,0
2026.01.25 23:01:58,5019.733,5019.893,0
2026.01.25 23:01:58,5019.760,5019.920,0
2026.01.25 23:01:58,5019.785,5019.945,0
2026.01.25 23:01:58,5019.818,5019.978,0
2026.01.25 23:01:58,5019.956,5020.116,0
2026.01.25 23:01:58,5020.281,5020.441,0
2026.01.25 23:01:58,5020.372,5020.532,0
2026.01.25 23:01:58,5020.325,5020.485,0
2026.01.25 23:01:58,5020.286,5020.446,0
2026.01.25 23:01:58,5020.186,5020.346,0
2026.01.25 23:01:58,5020.152,5020.312,0
2026.01.25 23:01:58,5020.069,5020.229,0
2026.01.25 23:01:58,5020.024,5020.184,0
2026.01.25 23:01:58,5019.966,5020.126,0
2026.01.25 23:01:58,5019.890,5020.050,0
2026.01.25 23:01:58,5019.861,5020.021,0
2026.01.25 23:01:58,5019.824,5019.984,0
2026.01.25 23:01:58,5019.788,5019.948,0
2026.01.25 23:01:58,5019.763,5019.923,0
2026.01.25 23:01:59,5019.738,5019.898,0
2026.01.25 23:01:59,5019.707,5019.867,0
2026.01.25 23:01:59,5019.675,5019.835,0
2026.01.25 23:01:59,5019.646,5019.806,0
2026.01.25 23:01:59,5019.614,5019.774,0
2026.01.25 23:01:59,5019.576,5019.736,0
2026.01.25 23:01:59,5019.546,5019.706,0
2026.01.25 23:01:59,5019.515,5019.675,0
2026.01.25 23:01:59,5019.486,5019.646,0
2026.01.25 23:01:59,5019.454,5019.614,0
2026.01.25 23:01:59,5019.415,5019.575,0
2026.01.25 23:01:59,5019.375,5019.535,0
2026.01.25 23:01:59,5019.351,5019.511,0
2026.01.25 23:01:59,5019.387,5019.547,0
2026.01.25 23:01:59,5019.469,5019.629,0
2026.01.25 23:01:59,5019.508,5019.668,0
2026.01.25 23:01:59,5019.544,5019.704,0
2026.01.25 23:01:59,5019.604,5019.764,0
2026.01.25 23:01:59,5019.642,5019.802,0
2026.01.25 23:02:00,5019.681,5019.841,0
2026.01.25 23:02:00,5019.633,5019.793,0
2026.01.25 23:02:00,5019.585,5019.745,0
2026.01.25 23:02:00,5019.547,5019.707,0
2026.01.25 23:02:00,5019.451,5019.611,0
2026.01.25 23:02:00,5019.059,5019.219,0
2026.01.25 23:02:00,5018.977,5019.137,0
2026.01.25 23:02:00,5018.953,5019.113,0
2026.01.25 23:02:00,5018.984,5019.144,0
2026.01.25 23:02:00,5019.019,5019.179,0
2026.01.25 23:02:00,5018.993,5019.153,0
2026.01.25 23:02:00,5019.026,5019.186,0
2026.01.25 23:02:00,5019.087,5019.247,0
2026.01.25 23:02:00,5019.151,5019.311,0
2026.01.25 23:02:00,5019.191,5019.351,0
2026.01.25 23:02:00,5019.242,5019.402,0
2026.01.25 23:02:00,5019.282,5019.442,0
2026.01.25 23:02:00,5019.316,5019.476,0
2026.01.25 23:02:00,5019.344,5019.504,0
2026.01.25 23:02:00,5019.392,5019.552,0
2026.01.25 23:02:00,5019.433,5019.593,0
2026.01.25 23:02:00,5019.467,5019.627,0
2026.01.25 23:02:00,5019.502,5019.662,0
2026.01.25 23:02:00,5019.537,5019.697,0
2026.01.25 23:02:00,5019.564,5019.724,0
2026.01.25 23:02:00,5019.599,5019.759,0
2026.01.25 23:02:00,5019.637,5019.797,0
2026.01.25 23:02:00,5019.661,5019.821,0
2026.01.25 23:02:00,5019.700,5019.860,0
2026.01.25 23:02:00,5019.726,5019.886,0
2026.01.25 23:02:00,5019.804,5019.964,0
2026.01.25 23:02:00,5019.878,5020.038,0
2026.01.25 23:02:00,5019.930,5020.090,0
2026.01.25 23:02:00,5019.962,5020.122,0
2026.01.25 23:02:01,5019.987,5020.147,0
2026.01.25 23:02:01,5020.034,5020.194,0
2026.01.25 23:02:01,5020.086,5020.246,0
2026.01.25 23:02:01,5020.117,5020.277,0
2026.01.25 23:02:01,5020.156,5020.316,0
2026.01.25 23:02:01,5020.192,5020.352,0
2026.01.25 23:02:01,5020.217,5020.377,0
2026.01.25 23:02:01,5020.246,5020.406,0
2026.01.25 23:02:01,5020.271,5020.431,0
2026.01.25 23:02:01,5020.300,5020.460,0
2026.01.25 23:02:01,5020.327,5020.487,0
2026.01.25 23:02:01,5020.294,5020.454,0
2026.01.25 23:02:01,5020.245,5020.405,0
2026.01.25 23:02:01,5020.193,5020.353,0
2026.01.25 23:02:02,5020.256,5020.416,0
2026.01.25 23:02:02,5020.293,5020.453,0
2026.01.25 23:02:02,5020.323,5020.483,0
2026.01.25 23:02:02,5020.374,5020.534,0
2026.01.25 23:02:02,5020.433,5020.593,0
2026.01.25 23:02:02,5020.529,5020.689,0
2026.01.25 23:02:02,5020.594,5020.754,0
2026.01.25 23:02:02,5020.619,5020.779,0
2026.01.25 23:02:02,5020.592,5020.752,0
2026.01.25 23:02:02,5020.498,5020.658,0
2026.01.25 23:02:02,5020.453,5020.613,0
2026.01.25 23:02:02,5020.414,5020.574,0
2026.01.25 23:02:02,5020.368,5020.528,0
2026.01.25 23:02:02,5020.329,5020.489,0
2026.01.25 23:02:02,5020.293,5020.453,0
2026.01.25 23:02:02,5020.253,5020.413,0
2026.01.25 23:02:02,5020.223,5020.383,0
2026.01.25 23:02:02,5020.176,5020.336,0
2026.01.25 23:02:02,5020.126,5020.286,0
2026.01.25 23:02:02,5020.101,5020.261,0
2026.01.25 23:02:02,5020.073,5020.233,0
2026.01.25 23:02:02,5020.049,5020.209,0
2026.01.25 23:02:02,5020.023,5020.183,0
2026.01.25 23:02:02,5019.991,5020.151,0
2026.01.25 23:02:02,5019.962,5020.122,0
2026.01.25 23:02:03,5019.928,5020.088,0
2026.01.25 23:02:03,5019.966,5020.126,0
2026.01.25 23:02:03,5020.024,5020.184,0
2026.01.25 23:02:03,5020.076,5020.236,0
2026.01.25 23:02:03,5020.129,5020.289,0
2026.01.25 23:02:03,5020.163,5020.323,0
2026.01.25 23:02:03,5020.226,5020.386,0
2026.01.25 23:02:03,5020.311,5020.471,0
2026.01.25 23:02:03,5020.348,5020.508,0
2026.01.25 23:02:03,5020.380,5020.540,0
2026.01.25 23:02:03,5020.417,5020.577,0
2026.01.25 23:02:03,5020.448,5020.608,0
2026.01.25 23:02:03,5020.398,5020.558,0
2026.01.25 23:02:03,5020.316,5020.476,0
2026.01.25 23:02:03,5020.127,5020.287,0
2026.01.25 23:02:03,5019.999,5020.159,0
2026.01.25 23:02:03,5019.955,5020.115,0
2026.01.25 23:02:03,5019.848,5020.008,0
2026.01.25 23:02:03,5019.746,5019.906,0
2026.01.25 23:02:03,5019.703,5019.863,0
2026.01.25 23:02:03,5019.678,5019.838,0
2026.01.25 23:02:03,5019.651,5019.811,0
2026.01.25 23:02:04,5019.626,5019.786,0
2026.01.25 23:02:04,5019.580,5019.740,0
2026.01.25 23:02:04,5019.552,5019.712,0
2026.01.25 23:02:04,5019.496,5019.656,0
2026.01.25 23:02:04,5019.419,5019.579,0
2026.01.25 23:02:04,5019.372,5019.532,0
2026.01.25 23:02:04,5019.344,5019.504,0
2026.01.25 23:02:04,5019.301,5019.461,0
2026.01.25 23:02:04,5019.274,5019.434,0
2026.01.25 23:02:04,5019.249,5019.409,0
2026.01.25 23:02:04,5019.221,5019.381,0
2026.01.25 23:02:04,5019.167,5019.327,0
2026.01.25 23:02:04,5019.140,5019.300,0
2026.01.25 23:02:04,5019.110,5019.270,0
2026.01.25 23:02:04,5019.135,5019.295,0
2026.01.25 23:02:04,5019.217,5019.377,0
2026.01.25 23:02:04,5019.339,5019.499,0
2026.01.25 23:02:04,5019.380,5019.540,0
2026.01.25 23:02:04,5019.420,5019.580,0
2026.01.25 23:02:04,5019.457,5019.617,0
2026.01.25 23:02:04,5019.489,5019.649,0
2026.01.25 23:02:04,5019.519,5019.679,0
2026.01.25 23:02:04,5019.559,5019.719,0
2026.01.25 23:02:05,5019.586,5019.746,0
2026.01.25 23:02:05,5019.627,5019.787,0
2026.01.25 23:02:05,5019.661,5019.821,0
2026.01.25 23:02:05,5019.692,5019.852,0
2026.01.25 23:02:05,5019.726,5019.886,0
2026.01.25 23:02:05,5019.759,5019.919,0
2026.01.25 23:02:05,5019.784,5019.944,0
2026.01.25 23:02:05,5019.810,5019.970,0
2026.01.25 23:02:05,5019.835,5019.995,0
2026.01.25 23:02:05,5019.875,5020.035,0
2026.01.25 23:02:05,5019.935,5020.095,0
2026.01.25 23:02:05,5019.973,5020.133,0
2026.01.25 23:02:05,5020.002,5020.162,0
2026.01.25 23:02:05,5020.066,5020.226,0
2026.01.25 23:02:05,5020.114,5020.274,0
2026.01.25 23:02:05,5020.174,5020.334,0
2026.01.25 23:02:05,5020.212,5020.372,0
2026.01.25 23:02:05,5020.237,5020.397,0
2026.01.25 23:02:05,5020.268,5020.428,0
2026.01.25 23:02:05,5020.299,5020.459,0
2026.01.25 23:02:06,5020.331,5020.491,0
2026.01.25 23:02:06,5020.359,5020.519,0
2026.01.25 23:02:06,5020.384,5020.544,0
2026.01.25 23:02:06,5020.414,5020.574,0
2026.01.25 23:02:06,5020.441,5020.601,0
2026.01.25 23:02:06,5020.383,5020.543,0
2026.01.25 23:02:06,5020.318,5020.478,0
2026.01.25 23:02:06,5020.272,5020.432,0
2026.01.25 23:02:06,5020.209,5020.369,0
2026.01.25 23:02:06,5020.173,5020.333,0
2026.01.25 23:02:06,5020.096,5020.256,0
2026.01.25 23:02:06,5020.034,5020.194,0
2026.01.25 23:02:06,5019.997,5020.157,0
2026.01.25 23:02:06,5019.965,5020.125,0
2026.01.25 23:02:06,5019.939,5020.099,0
2026.01.25 23:02:06,5019.912,5020.072,0
2026.01.25 23:02:06,5019.884,5020.044,0
2026.01.25 23:02:06,5019.844,5020.004,0
2026.01.25 23:02:06,5019.761,5019.921,0
2026.01.25 23:02:06,5019.727,5019.887,0
2026.01.25 23:02:06,5019.701,5019.861,0
2026.01.25 23:02:06,5019.668,5019.828,0
2026.01.25 23:02:06,5019.711,5019.871,0
2026.01.25 23:02:06,5019.759,5019.919,0
2026.01.25 23:02:06,5019.842,5020.002,0
2026.01.25 23:02:06,5019.780,5019.940,0
2026.01.25 23:02:06,5019.741,5019.901,0
2026.01.25 23:02:07,5019.708,5019.868,0
2026.01.25 23:02:07,5019.773,5019.933,0
2026.01.25 23:02:07,5019.814,5019.974,0
2026.01.25 23:02:07,5019.857,5020.017,0
2026.01.25 23:02:07,5019.892,5020.052,0
2026.01.25 23:02:07,5019.923,5020.083,0
2026.01.25 23:02:07,5019.853,5020.013,0
2026.01.25 23:02:07,5019.778,5019.938,0
2026.01.25 23:02:07,5019.730,5019.890,0
2026.01.25 23:02:07,5019.505,5019.665,0
2026.01.25 23:02:07,5019.087,5019.247,0
2026.01.25 23:02:07,5018.993,5019.153,0
2026.01.25 23:02:07,5018.918,5019.078,0
2026.01.25 23:02:07,5018.838,5018.998,0
2026.01.25 23:02:07,5018.721,5018.881,0
2026.01.25 23:02:07,5018.572,5018.732,0
2026.01.25 23:02:07,5018.540,5018.700,0
2026.01.25 23:02:07,5018.565,5018.725,0
